OTU	NTC	NTC	NTC	NTC	NTC	NTC	P2	D26	P27	P6	D6	V6	S6	V4	P9	S22	D2	P30A	V9	S13	S30A	D9	D13	V13	V23	V17	V16	D16	S17	P22	P17	D17	S9	P10	D22	S4	P5	P23	D23	V2	V2_3	S2_2	D24	V24	V5	S24	P26	S31	S27	S2	V27	S26	V10	V2_2	V30B	V78	V30A	P16	D30B	S10	D30A	S78	D31	P13	D4	D5	P76	D76	V76	S30B	P31	D78	S76	P78	P4	P2_2	P2_3	D2_2	D27	S23	P24	S2_3	V31	P30B	V26	V22	D10	S16	D2_3	S5
OTU43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	8496	0	0	0	0	0	0	0	0	0	0	246	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	63	0	0	2643	0	0	0	164	0	421	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	601
OTU44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	0	17	0	0	72	0	0	0	0	1	0	0	8	0	0	14	0	0	0	0	0	0	0	0	0	0	0	2	0	8	0	0	0	0	0	0	0	0	1	0	5	0	0	0	12487	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU45	0	0	0	0	0	1	7	0	0	0	78	17	2	0	5	0	33	0	0	0	15	0	0	1	69	0	0	0	1	0	0	0	0	0	0	36	0	0	0	97	76	1779	1	0	17	5	0	0	12	1336	36	525	75	120	42	42	8	0	1	531	107	82	0	4087	930	1	2	1016	12	12	1	0	134	0	0	4	4	79	0	636	1	1858	0	1	100	0	1402	30	47	7
OTU46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	9	96	6	5	0	0	0	1	0	0	0	0	0	1522	2	4	0	0	0	0	3	1	82	0	0	0	0	0	8	16	0	0	0	0	1	0	0	223	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	27	0	0	4911	0	984	0	0	95	0	0
OTU47	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	2	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	8529	0	0	1	0	0	0	0	0	29	0	0	7	0	8	24	0	0	0	0	2	0	0	0	5	0	1	14	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU48	0	0	0	0	0	0	110	844	1377	12	9	35	121	227	132	38	691	34	8	65	61	19	227	1	16	201	0	4	52	45	23	0	3	22	1	38	9	4	22	7	13	143	3	13	18	0	291	100	24	210	15	35	128	26	87	33	27	4	38	91	370	22	1051	24	1	49	17	1	22	152	50	302	30	1044	124	154	6	107	27	320	947	311	38	75	25	117	213	13	398	14
OTU49	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14968	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU50	0	0	0	1	0	4	0	0	4	0	0	0	4	0	1	0	2	0	1	3	1	0	0	3	1877	27826	23970	4	90	0	1	0	1	0	0	0	0	0	8374	4058	5474	142	608	0	2	5	2	287	4	134	7	3	1	6876	3	0	2	0	0	1	0	0	91	0	0	0	0	0	3	2	0	0	0	1	0	0	0	3	0	6999	0	125	27169	0	3	1	0	639	0	0
OTU51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9503
OTU52	0	0	0	0	0	0	8	0	0	0	3	3	2	7	2	0	28	0	0	2	155	0	0	564	1565	6026	0	0	5	0	0	0	0	0	20	5	18	0	4	55	22	1	7	14	9	37	0	14	10	5	8	0	25	46	50	17	8	2	416	1	5	77	1	19	0	0	0	0	53	228	0	6	0	50	8	8	8	7	0	20	27	11	61	3	5	0	94	0	27	5
